entry_date,exit_date,direction,holding_days,trade_return,signal_date,signal_value,signal_confidence,signal_direction,corr_col_used,corr_value_used,correlation_regime,flipped,signal_quality,actual_beat_consensus,actual_surprise,actual_surprise_direction,prediction_error,signal_correct,trade_direction_correct,flip_helped,outcome,benchmark_return,alpha_contribution
2018-10-09,2019-01-11,-1.0,64,0.1105183719189351,2018-10-23,,,0,,,unknown,false,low,true,0.022710068130204392,1,,false,true,,direction_right_profit,-0.09362459287497815,0.20414296479391325
2019-01-11,2019-04-09,1.0,60,0.03881282572925793,2019-01-28,,,0,,,unknown,false,low,true,0.005750350631136045,1,,false,true,,direction_right_profit,0.11427742397757967,-0.07546459824832175
2019-10-09,2020-04-14,-1.0,128,0.010222439452025278,2019-10-23,,,0,,,unknown,false,low,false,-0.05705838876570584,-1,,false,true,,direction_right_profit,-0.015132781381203997,0.025355220833229275
2020-04-14,2021-04-15,1.0,253,1.0528987741185372,2020-04-28,,,0,,,unknown,false,low,false,-0.07762359063313096,-1,,false,true,,direction_right_profit,0.4889144202718143,0.5639843538467229
2021-04-15,2021-10-14,-1.0,127,0.15596067606815078,2021-04-29,-9.766485248059497e-10,,-1,,,unknown,false,medium,true,0.09759926131117266,1,0.0975992612582015,false,true,,direction_right_profit,0.07093555908712168,0.0850251169810291
2021-10-14,2022-04-13,1.0,125,0.13487446627761113,2021-10-28,-0.029075497130656613,,-1,,,unknown,false,medium,false,-0.015329626687847498,-1,0.015141686047521273,true,true,,direction_right_profit,0.008473357881299881,0.12640110839631125
2022-07-19,2023-01-17,1.0,125,0.43726518780596746,2022-08-02,0.618375803083891,,1,,,unknown,false,high,false,-0.00440251572327044,-1,0.008288923758530603,false,true,,direction_right_profit,0.022861787818764245,0.4144033999872032
2023-07-18,2023-10-17,1.0,64,0.03862693607623324,2023-08-01,0.012062257248351877,,1,,,unknown,false,medium,true,0.05148755312689739,1,0.05245122850659417,true,true,,direction_right_profit,-0.036619107612131274,0.07524604368836452
2024-04-11,2024-07-23,-1.0,70,0.06760746398478168,2024-04-25,-0.10734245561758958,,-1,,,unknown,false,high,false,-0.01194496560350219,-1,0.03828650748325698,true,true,,direction_right_profit,0.07252234514335543,-0.004914881158573747
2024-07-23,2024-10-16,1.0,60,0.14367890556434282,2024-08-06,0.04300958566601362,,1,,,unknown,false,medium,false,-0.007198096371207614,-1,0.011476821998799097,false,true,,direction_right_profit,0.054725764583223535,0.08895314098111928
2025-01-15,2025-04-15,1.0,62,-0.21442097623047163,2025-01-30,-0.010554046754103609,,-1,,,unknown,false,medium,false,-0.026126126126126126,-1,0.02573895581828746,true,false,,direction_wrong_loss,-0.09034166789938514,-0.12407930833108649
2025-04-15,2025-07-22,-1.0,66,-0.43384930259117693,2025-04-30,-0.01175875529040672,,-1,,,unknown,false,medium,,,0,,false,false,,no_signal,0.17319079045312513,-0.6070400930443021
2025-10-15,2026-02-06,1.0,78,0.3668951591733096,2025-10-29,-0.177595491103437,,-1,,,unknown,false,high,,,0,,false,true,,no_signal,0.04132886718497275,0.32556629198833686
